---config@码表分类=主码-6
---config@允许编辑=是
---config@码表别名=系统简词
十四为君妇	uswjfan#序55000
羞颜未尝开	xywikya#序55000
低头向暗壁	dtxabru#序55000
千唤不一回	qhbyhpk#序55000
十五始展眉	uwuvmav#序55000
愿同尘与灰	ytiyhiu#序55000
常存抱柱信	icbvxxr#序55000
岂上望夫台	quwftes#序55000
十六君远行	uljyxai#序55000
瞿塘滟预堆	qtyydot#序55000
五月不可触	wybkiad#序55000
猿声天上哀	yutuaqw#序55000
门前迟行迹	mqixjdz#序55000
一一生绿苔	yyultac#序55000
苔深不能扫	tubnscf#序55000
落叶秋风早	lyqfzco#序55000
八月蝴蝶黄	byhdhpc#序55000
双飞西园草	ufxycyc#序55000
感此伤妾心	gcuqxwd#序55000
感此伤妾心	gcuqxxd#序55000
坐愁红颜老	zihylrl#序55000
早晚下三巴	zwxsbos#序55000
早晚下三巴	zwxsbov#序55000
预将书报家	yjubjsb#序55000
相迎不道远	xybdymz#序55000
直至长风沙	vvvfuud#序55000
梧桐相待老	wtxdlml#序55000
鸳鸯会双死	yyhusxd#序55000
贞妇贵殉夫	vfgxfla#序55000
舍生亦如此	uuyrcrv#序55000
波澜誓不起	blubqdt#序55000
妾心井中水	qxjvull#序55000
游子身上衣	yzuuydw#序55000
报得三春晖	bdsihfo#序55000
登幽州台歌	dyvtgva#序55000
男儿事长征	neuivti#序55000
少小幽燕客	uxyykxb#序55000
赌胜马蹄下	dumtxka#序55000
由来轻七尺	ylqqilu#序55000
杀人莫敢前	urmgqxb#序55000
须如猬毛磔	xrwmvpu#序55000
川为静其波	iwjqbpd#序55000
鸟亦罢其鸣	nybqmpk#序55000
鸟亦罢其鸣	nybqmwk#序55000
我本楚狂人	wbikrpp#序55000
凤歌笑孔丘	fgxkqjp#序55000
手持绿玉杖	uilyvpm#序55000
朝别黄鹤楼	ibhhlum#序55000
好为庐山谣	hwluyny#序55000
兴因庐山发	xylufxv#序55000
海客谈瀛洲	hktyvdd#序55000
越人语天姥	yrytltn#序55000
湖月照我影	hyvwydo#序55000
送我至剡溪	swvuxzd#序55000
脚著谢公屐	jvxgjou#序55000
身登青云梯	udqytpm#序55000
半壁见海日	bbjhrdk#序55000
空中闻天鸡	kvwtjby#序55000
洛阳女儿行	lynexdi#序55000
蚕丛及鱼凫	ccjyftp#序55000
开国何茫然	kghmrap#序55000
青泥何盘盘	qnhppfv#序55000
其险也若此	qxyrcqv#序55000
胡为呼来哉	hwhlzuu#序55000
所守或匪亲	suhfqpl#序55000
化为狼与豺	hwlyirv#序55000
锦城虽云乐	jisyljp#序55000
不如早还家	brzhjab#序55000
昔日横波目	xrhbmck#序55000
今作流泪泉	jzllqrb#序55000
不信妾断肠	bxqdiao#序55000
与君歌一曲	yjgyqal#序55000
长者虽有问	vvsywpm#序55000
役夫敢申恨	yfguhix#序55000
且如今年冬	qrjndlw#序55000
未休关西卒	wxgxzaw#序55000
